time,id,location,accuracy,scale,algo,association_status,cl_radio,ap_cardinality
2017-09-01 19:28:30,83,2010400091,98.5858,5,4,t,5GHz,1
2017-09-01 19:28:30,84,2010600947,99.8259,5,4,f,5GHz,1
2017-09-01 19:28:30,85,2010300761,99.2724,5,4,t,2.4GHz,1
2017-09-01 19:28:30,86,2010600497,99.8232,5,4,f,5GHz,1
2017-09-01 19:28:30,87,2010400486,99.8333,5,4,t,5GHz,1
2017-09-01 19:28:30,88,2010600940,99.7226,5,4,t,5GHz,1
2017-09-01 19:28:30,89,2010600142,99.7868,5,4,t,2.4GHz,1
2017-09-01 19:28:30,90,2010400138,97.7709,5,4,f,5GHz,2
2017-09-01 19:28:30,91,2010300156,99.4756,5,4,t,5GHz,1
2017-09-01 19:28:30,92,2010300499,99.8259,5,4,f,2.4GHz,1
2017-09-01 19:28:30,93,2010400521,99.7418,5,4,f,5GHz,1
2017-09-01 19:28:30,94,2010600171,99.7418,5,4,t,5GHz,1
2017-09-01 19:28:30,95,2010400501,98.5393,5,4,f,2.4GHz,3
2017-09-01 19:28:30,96,2010400471,98.9037,5,4,f,5GHz,2
2017-09-01 19:28:30,97,2010300208,96.9555,5,4,t,5GHz,1
2017-09-01 19:28:30,98,2010600548,99.8174,5,4,t,5GHz,1
2017-09-01 19:28:30,99,2010600976,99.2779,5,4,f,5GHz,2
2017-09-01 19:28:30,100,2010300511,99.4836,5,4,f,5GHz,1
2017-09-01 19:28:30,101,2010400264,99.7374,5,4,f,2.4GHz,1
2017-09-01 19:28:30,102,2010400071,98.9317,5,4,f,5GHz,2
2017-09-01 19:28:30,103,2010300392,99.0282,5,4,f,5GHz,1
2017-09-01 19:28:30,104,2010600325,99.5615,5,4,f,2.4GHz,1
2017-09-01 19:28:30,105,2010400598,98.709,5,4,t,5GHz,1
2017-09-01 19:28:30,106,2010300755,99.7278,5,4,t,2.4GHz,1
2017-09-01 19:28:30,107,2010600862,99.8,5,4,f,2.4GHz,1
2017-09-01 19:28:30,108,2010400454,99.233,5,4,t,5GHz,1
2017-09-01 19:28:30,109,2010600555,99.8,5,4,t,5GHz,1
2017-09-01 19:28:30,110,2010600896,99.7818,5,4,t,5GHz,1
2017-09-01 19:28:30,111,2010400021,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,112,2010400453,98.706,5,4,t,5GHz,2
2017-09-01 19:28:30,113,2010300422,99.6078,5,4,f,2.4GHz,1
2017-09-01 19:28:30,114,2010400616,98.8873,5,4,f,2.4GHz,1
2017-09-01 19:28:30,115,2010600475,99.3533,5,4,t,5GHz,1
2017-09-01 19:28:30,116,2010300374,99.6838,5,4,f,2.4GHz,1
2017-09-01 19:28:30,117,2010300109,99.0496,5,4,f,2.4GHz,1
2017-09-01 19:28:30,118,2010600820,99.583,5,4,t,5GHz,1
2017-09-01 19:28:30,119,2010400450,99.5697,5,4,f,2.4GHz,1
2017-09-01 19:28:30,120,2010400597,97.9324,5,4,f,2.4GHz,2
2017-09-01 19:28:30,121,2010300157,99.5412,5,4,t,5GHz,1
2017-09-01 19:28:30,122,2010600977,98.6812,5,4,t,5GHz,2
2017-09-01 19:28:30,123,2010400582,99.6838,5,4,f,2.4GHz,1
2017-09-01 19:28:30,124,2010600937,99.8356,5,4,f,5GHz,1
2017-09-01 19:28:30,125,2010600128,99.6838,5,4,f,2.4GHz,1
2017-09-01 19:28:30,126,2010600219,99.7706,5,4,f,2.4GHz,1
2017-09-01 19:28:30,127,2010600168,97.8083,5,4,f,5GHz,2
2017-09-01 19:28:30,128,2010400371,96.2132,5,4,f,2.4GHz,3
2017-09-01 19:28:30,129,2010600100,99.6838,5,4,t,2.4GHz,1
2017-09-01 19:28:30,130,2010400406,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,131,2010300654,99.657,5,4,t,2.4GHz,1
2017-09-01 19:28:30,132,2010400586,99.6838,5,4,t,5GHz,1
2017-09-01 19:28:30,133,2010400477,99.3675,5,4,t,5GHz,1
2017-09-01 19:28:30,134,2010600156,97.4892,5,4,f,2.4GHz,2
2017-09-01 19:28:30,135,2010600871,99.8333,5,4,f,5GHz,1
2017-09-01 19:28:30,136,2010400065,99.4443,5,4,f,5GHz,2
2017-09-01 19:28:30,137,2010300304,99.6151,5,4,t,5GHz,1
