"time","id","location","accuracy","scale","algo","association_status","cl_radio","ap_cardinality"
"2017-09-01 19:28:31","9719d0389cd53e3f21b6e5488f4593992fadc30b","2010600016","96.0358","5","4","t","2.4GHz","3"
"2017-09-01 19:28:31","85e936733ab37aeb7ac3ecd3d4a94d389ee3c8c2","2010400488","99.7915","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","a5e2b04636da0b808cae1cd81e106d63a8b026ca","2010300767","99.0299","5","4","t","5GHz","1"
"2017-09-01 19:28:31","916aacf1a670cb20e3166f277a4f4ed604e792a0","2010400513","99.2471","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","df3f8915c1b6c29cfba7b99d22c99375be83a0af","2010400410","99.7915","5","4","t","5GHz","1"
"2017-09-01 19:28:31","2f00690dfd592cfd87b9d68bdbb610cea16bf0f4","2010400632","97.5587","5","4","f","5GHz","1"
"2017-09-01 19:28:31","13c19867fc3f9908cce495b1e571bc2ff40f3abf","2010300161","98.2793","5","4","t","2.4GHz","2"
"2017-09-01 19:28:31","b16811ff1f1dd1d9624f8e075d99f7bf0b7669fa","2010600188","99.7915","5","4","t","5GHz","1"
"2017-09-01 19:28:31","1591b7d6c3cb7903e8e504e40fada07d7bc16cdc","2010600896","99.8438","5","4","f","5GHz","1"
"2017-09-01 19:28:31","bc53c6e2ae233423f0446c1dfc1ff16ae99d30af","2010300759","99.831","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","a0fd0de2ceb5671ff8cdaa0c7fb50567b2d5d0bf","2010600181","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","6ea17183d03cfc1d0f41e6ee7cb43d429f2f9057","2010400021","99.6985","5","4","f","5GHz","1"
"2017-09-01 19:28:31","bdabdb15f49ab155878eba5476a952e6640e01ab","2010400461","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","87b9a7226defcc8865a354850bffb347c93bc0f6","2010600471","99.2843","5","4","f","5GHz","3"
"2017-09-01 19:28:31","7b835cdbb3db92922584577b454e0312c45c9536","2010400371","99.473","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","0bedf64d02800b9e8d73c39efee1485d7f9403c5","2010400210","99.7051","5","4","t","5GHz","1"
"2017-09-01 19:28:31","289c551f0084c1eb8964fb2aa06322b040163949","2010300566","98.8453","5","4","f","5GHz","1"
"2017-09-01 19:28:31","a333ac09affca61b0db8cbb715fa167a31769a5b","2010300112","99.5918","5","4","f","5GHz","1"
"2017-09-01 19:28:31","890963e808d753e1c1a1313fe3918dbb8224329a","2010400412","99.2859","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","b860e709de991d874710eb3d6b46971146405f51","2010300757","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","0af2d507f319874ca989e60b9722f40dbbb8ff71","2010300776","99.8204","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","912efea0466f45cf2c0d2fac0afbb00099140b15","2010600480","99.7675","5","4","f","5GHz","2"
"2017-09-01 19:28:31","d56776ab811f00c3cf8b4e6c8d86673344b7415e","2010300232","99.4227","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","70841973e9df4eb0d5ef801ac5a4295e33b0d04a","2010400379","99.6838","5","4","t","5GHz","1"
"2017-09-01 19:28:31","fe6961326eeff01c8f90c4d2eb0a44119f8a0231","2010300490","98.3347","5","4","f","2.4GHz","2"
"2017-09-01 19:28:31","bc9256eaba97cc41fb4cff7b098cb8f543f0ba5e","2010400591","96.5722","5","4","t","2.4GHz","1"
"2017-09-01 19:28:31","7b9a89f09c5639caea0dd2801f8b6c7259646d63","2010600919","99.8204","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","78789f505aebc8f98cf39df8032677764d916308","2010600455","99.8204","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","290dec1523c51427cdd394d6b010f8ee9963b65a","2010400451","98.7819","5","4","f","5GHz","2"
"2017-09-01 19:28:31","b25f1a017b3d57b23b95041d04fe4db944b9dbdc","2010300497","99.3052","5","4","t","5GHz","1"
"2017-09-01 19:28:31","c29d80ff982c205f7d5f5376a819949b20ad6830","2010400027","98.8343","5","4","f","5GHz","1"
"2017-09-01 19:28:31","06847e161a7a5179cfe8fcb04f7a475d75559078","2010600798","99.7327","5","4","t","5GHz","1"
"2017-09-01 19:28:31","d2c42f396d64b3df250a4b89e12682614bb030f8","2010400519","98.8433","5","4","f","5GHz","2"
"2017-09-01 19:28:31","c0ee1abd178f7db13708c3354779951456e704e8","2010400135","99.6838","5","4","f","5GHz","1"
"2017-09-01 19:28:31","8cf39c3c8cdf2c656556d98657fd522a73523d7c","2010400569","99.7643","5","4","f","2.4GHz","1"
"2017-09-01 19:28:31","252e1e01775793bd9267593351a7927904b28347","2010400331","99.6838","5","4","t","5GHz","1"
