0,1504266873,4562
0,1504266883,4562
0,1504266889,4562
0,1504266930,4562
1,1504266616,4617
1,1504266622,4617
1,1504266674,6140
1,1504266679,6140
1,1504266685,4617
1,1504266701,6140
1,1504266703,4620
1,1504266704,4591
1,1504266733,6140
1,1504266745,4620
1,1504266748,6140
1,1504266753,4617
1,1504266755,4620
1,1504266764,4617
1,1504266791,6140
1,1504266795,4617
1,1504266806,4617
1,1504266813,4620
1,1504266818,4620
1,1504266823,4620
2,1504266001,4591
2,1504266054,4591
2,1504266069,4617
2,1504266121,4617
2,1504266127,4617
2,1504266130,4591
2,1504266132,4617
2,1504266135,4591
2,1504266169,4617
2,1504266179,4617
2,1504266183,4591
2,1504266188,4591
2,1504266210,6129
2,1504266221,4591
2,1504266227,4617
2,1504266251,6129
2,1504266253,4617
2,1504266312,4591
2,1504266313,6140
2,1504266327,4617
2,1504266363,4617
2,1504266365,6129
2,1504266366,6140
2,1504266369,4617
2,1504266379,4617
2,1504266387,6140
2,1504266388,6129
2,1504266392,6140
2,1504266398,4591
2,1504266432,6129
2,1504266433,6151
2,1504266435,4591
2,1504266439,4570
2,1504266441,4591
2,1504266445,4570
2,1504266448,4617
2,1504266499,6140
2,1504266506,4617
2,1504266512,6151
2,1504266515,4570
2,1504266561,6129
2,1504266564,4591
2,1504266569,4570
2,1504266617,6129
2,1504266618,4570
2,1504266634,6129
2,1504266637,6140
2,1504266701,6140
2,1504266705,4570
2,1504266733,6140
2,1504266742,4570
2,1504266748,6140
2,1504266764,4570
2,1504266791,6140
2,1504266807,6140
2,1504266818,4570
2,1504266932,6129
2,1504266943,6129
2,1504266948,6129
2,1504266999,6129
3,1504265864,4617
3,1504265889,6140
3,1504265890,4617
3,1504265894,4599
3,1504265927,4599
3,1504265933,4617
3,1504265938,4599
3,1504265942,6140
3,1504265947,6140
4,1504266398,4591
4,1504266435,4591
4,1504266441,4591
5,1504265288,4562
5,1504265303,4562
5,1504265309,4562
6,1504265595,4620
6,1504265626,4620
6,1504265684,4620
6,1504265689,4620
6,1504265694,4620
6,1504265699,4620
7,1504265622,1033
7,1504265703,1033
7,1504265740,1033
7,1504267191,4560
7,1504267197,4560
8,1504265440,4560
9,1504265433,4000
10,1504266051,4620
10,1504266061,4620
10,1504266064,4580
10,1504266072,4620
10,1504266117,4591
10,1504266177,4620
10,1504266181,4591
10,1504266186,4591
10,1504266224,4591
10,1504266229,4620
10,1504266245,4620
10,1504266304,4591
11,1504265499,6087
11,1504265515,6087
11,1504265553,6109
11,1504265564,4544
11,1504265579,6087
11,1504265580,4544
11,1504265585,6109
11,1504265590,6087
11,1504265595,6087
11,1504265596,6109
11,1504265612,4544
11,1504265617,6109
11,1504265622,6109
12,1504266637,6140
12,1504266674,6140
12,1504266679,6140
12,1504266701,6140
12,1504266818,4570
12,1504266872,4570
12,1504266888,4570
13,1504267074,1000
13,1504267125,1000
14,1504265502,6151
14,1504265514,4617
14,1504265519,4617
14,1504265551,4617
14,1504265561,4617
14,1504265569,4599
14,1504265577,4617
14,1504265579,4599
14,1504265585,4599
14,1504265586,6151
14,1504265592,6151
14,1504265595,4599
14,1504265598,4617
14,1504265620,6151
14,1504265630,4617
15,1504265890,4570
15,1504265891,4544
15,1504265895,4570
15,1504265944,4544
15,1504265949,4570
15,1504265955,4570
15,1504265966,4570
15,1504265992,4544
15,1504266506,4000
15,1504266511,4000
15,1504266568,4000
15,1504266626,4000
15,1504266884,4544
